Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
3,male,40.0,0,0,10.0,No,S,0
2,male,40.0,1,0,40.0,No,C,0
2,female,40.0,0,0,20.0,Yes,S,1
1,male,60.0,0,1,100.0,Yes,S,0
3,male,20.0,1,0,20.0,No,C,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,30.0,0,0,10.0,No,S,1
3,female,30.0,1,1,30.0,Yes,C,1
3,male,50.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,C,0
3,male,30.0,0,0,10.0,No,S,0
3,female,50.0,1,0,20.0,No,S,0
2,female,30.0,1,0,30.0,No,S,1
2,male,30.0,0,0,20.0,No,S,0
2,male,30.0,0,0,20.0,No,C,0
1,female,20.0,0,2,30.0,Yes,S,1
1,male,40.0,1,0,60.0,Yes,S,0
3,male,20.0,0,0,10.0,No,S,0
1,male,30.0,0,0,100.0,Yes,C,0
3,female,30.0,0,2,20.0,No,C,0
3,female,30.0,0,0,10.0,No,S,1
3,female,30.0,1,0,20.0,No,S,1
3,male,20.0,0,0,10.0,No,Q,0
2,male,20.0,0,0,20.0,No,S,0
2,male,20.0,1,1,40.0,No,S,0
3,male,30.0,0,0,10.0,No,S,1
3,female,10.0,2,2,40.0,No,S,0
2,male,40.0,0,2,30.0,Yes,S,0
2,male,50.0,0,0,20.0,No,S,0
2,male,60.0,0,0,20.0,No,S,0
1,female,30.0,1,0,70.0,Yes,S,1
3,male,60.0,0,0,10.0,No,S,0
3,male,50.0,0,2,20.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
1,male,60.0,0,1,70.0,No,C,0
3,female,20.0,0,0,10.0,No,Q,1
3,male,40.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,8,2,70.0,No,S,0
3,male,50.0,0,1,20.0,No,S,0
2,female,50.0,0,0,20.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,0,0,10.0,No,S,0
3,male,5.0,4,1,40.0,No,S,0
3,male,10.0,0,2,30.0,No,S,1
1,female,30.0,0,1,60.0,Yes,S,1
3,female,50.0,1,4,30.0,No,S,0
1,male,50.0,0,0,30.0,No,S,0
3,male,30.0,0,0,60.0,No,S,0
1,male,70.0,0,0,40.0,Yes,S,0
3,male,5.0,4,1,30.0,No,Q,0
3,female,5.0,1,1,20.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
1,male,60.0,0,0,40.0,Yes,C,0
3,male,20.0,1,1,10.0,No,S,0
3,male,10.0,3,1,30.0,No,S,0
1,female,60.0,0,0,30.0,Yes,C,0
2,male,40.0,0,0,20.0,No,S,0
3,male,40.0,0,0,0.0,No,S,0
3,female,20.0,8,2,70.0,No,S,0
2,male,40.0,0,0,20.0,No,C,0
3,male,10.0,4,2,40.0,No,S,0
2,male,5.0,2,1,40.0,Yes,S,1
3,female,5.0,0,2,30.0,No,S,1
1,male,50.0,0,0,60.0,Yes,S,0
3,female,40.0,1,0,20.0,No,Q,1
1,male,50.0,0,0,30.0,No,S,1
3,male,50.0,1,1,20.0,No,Q,0
3,male,40.0,0,0,10.0,No,S,0
2,female,40.0,0,0,20.0,No,S,1
2,male,20.0,0,0,20.0,No,S,0
3,female,20.0,1,0,10.0,No,S,1
2,male,5.0,1,1,30.0,Yes,S,1
1,female,50.0,0,0,30.0,Yes,C,1
1,female,60.0,0,0,200.0,Yes,C,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,50.0,0,1,10.0,No,S,0
3,female,40.0,0,0,10.0,No,Q,1
2,female,30.0,0,0,20.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,8,2,70.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
3,male,50.0,0,0,10.0,No,C,0
3,male,20.0,0,0,10.0,No,S,1
3,female,5.0,0,1,20.0,Yes,S,0
3,male,40.0,1,0,20.0,No,S,0
3,male,30.0,0,0,20.0,No,C,1
3,female,20.0,0,0,10.0,No,Q,1
1,male,50.0,0,0,40.0,Yes,C,1
3,male,30.0,0,0,10.0,No,S,0
2,female,40.0,0,0,30.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,40.0,0,0,20.0,No,S,0
3,male,40.0,1,0,10.0,No,Q,0
1,female,40.0,1,0,200.0,Yes,C,1
3,female,30.0,0,0,10.0,No,S,1
2,male,50.0,1,0,30.0,No,S,0
1,female,40.0,0,0,100.0,Yes,C,1
2,male,40.0,0,0,20.0,No,S,0
3,male,20.0,0,0,10.0,No,S,1
2,male,30.0,0,0,20.0,No,S,0
3,male,60.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
1,male,40.0,1,0,100.0,Yes,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,20.0,0,0,20.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,20.0,0,0,20.0,No,S,0
3,female,10.0,3,1,30.0,No,S,0
1,female,40.0,1,0,100.0,Yes,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,60.0,0,0,20.0,No,S,0
3,female,10.0,4,2,40.0,No,S,1
2,male,30.0,0,0,20.0,No,S,0
3,female,40.0,0,0,10.0,No,S,0
2,male,50.0,1,0,30.0,No,S,0
2,female,10.0,0,2,30.0,No,S,1
2,male,20.0,0,0,20.0,No,S,0
2,male,40.0,0,0,20.0,No,S,0
3,female,30.0,1,0,20.0,No,C,0
3,female,40.0,1,0,20.0,No,Q,1
2,male,30.0,0,0,20.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,C,0
1,male,50.0,2,0,100.0,Yes,Q,0
3,female,30.0,0,0,10.0,No,S,0
2,female,30.0,0,2,20.0,No,S,1
1,male,40.0,1,1,60.0,Yes,S,1
2,male,60.0,1,0,30.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,female,30.0,1,1,20.0,Yes,S,0
1,male,70.0,0,0,30.0,Yes,S,0
3,male,40.0,1,0,20.0,No,S,0
3,female,50.0,0,2,30.0,No,S,0
3,female,30.0,0,2,20.0,No,C,1
1,female,40.0,0,0,100.0,No,C,1
1,female,40.0,0,0,100.0,Yes,S,1
1,female,40.0,0,0,500.0,No,C,1
2,female,60.0,0,1,30.0,No,S,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,5.0,4,2,40.0,No,S,1
1,male,60.0,1,1,100.0,Yes,S,0
1,male,50.0,0,0,0.0,Yes,S,0
3,female,40.0,0,0,10.0,No,Q,0
2,male,40.0,0,0,20.0,No,S,0
3,male,20.0,4,1,40.0,No,S,0
3,male,30.0,1,0,10.0,No,S,1
1,female,60.0,0,1,200.0,Yes,S,1
1,female,40.0,0,0,200.0,Yes,S,1
1,male,40.0,0,0,40.0,No,S,0
3,male,30.0,0,0,0.0,No,S,1
2,female,50.0,0,1,20.0,No,S,1
1,male,40.0,0,1,30.0,Yes,C,0
3,female,40.0,0,0,10.0,No,Q,1
1,female,70.0,1,0,100.0,Yes,S,1
3,female,50.0,0,0,10.0,No,S,0
2,male,40.0,0,0,0.0,No,S,0
3,male,10.0,4,1,30.0,No,Q,0
3,female,40.0,1,1,30.0,No,S,1
3,male,70.0,0,0,10.0,No,Q,0
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,0,0,10.0,No,S,0
3,male,20.0,0,0,10.0,No,S,1
1,male,60.0,0,0,30.0,Yes,S,0
3,male,40.0,0,0,10.0,No,C,0
3,male,40.0,0,0,10.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,50.0,0,0,20.0,No,S,1
3,female,30.0,0,0,10.0,No,Q,1
1,female,30.0,0,0,100.0,No,S,1
1,female,20.0,1,0,100.0,Yes,C,1
2,male,40.0,0,0,20.0,Yes,C,0
3,female,30.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
1,male,50.0,0,0,30.0,No,C,0
3,male,30.0,0,0,10.0,No,C,0
1,female,5.0,1,2,200.0,Yes,S,0
1,male,50.0,0,0,40.0,Yes,S,1
1,female,60.0,0,1,200.0,Yes,C,1
3,female,40.0,0,0,10.0,No,Q,1
3,male,30.0,2,0,30.0,No,Q,1
3,male,20.0,0,0,0.0,No,S,0
2,female,50.0,0,0,20.0,Yes,Q,1
3,male,40.0,0,0,10.0,No,S,0
1,male,0.0,1,2,200.0,Yes,S,1
1,female,30.0,0,0,200.0,No,C,1
1,female,20.0,1,0,200.0,Yes,C,1
2,male,40.0,1,0,30.0,No,C,0
1,female,40.0,0,0,60.0,Yes,C,1
1,female,30.0,0,0,100.0,Yes,C,1
1,female,20.0,2,2,200.0,Yes,C,1
2,female,30.0,1,1,30.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
2,male,50.0,1,1,30.0,No,S,0
3,female,30.0,0,0,10.0,No,S,1
2,female,30.0,1,0,30.0,No,S,1
2,male,60.0,0,0,20.0,No,S,0
1,female,40.0,0,2,200.0,Yes,S,1
1,female,50.0,1,1,200.0,Yes,C,1
3,male,30.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
2,female,40.0,0,0,20.0,No,Q,1
2,female,30.0,1,1,30.0,No,S,1
3,male,20.0,8,2,70.0,No,S,0
1,female,40.0,0,0,200.0,Yes,C,1
3,male,70.0,0,0,10.0,No,S,0
2,female,40.0,0,0,20.0,Yes,S,1
3,female,40.0,1,1,30.0,No,S,1
1,female,20.0,0,1,60.0,Yes,C,1
3,female,30.0,2,0,30.0,No,Q,1
1,male,50.0,0,0,30.0,Yes,S,0
1,male,40.0,0,1,200.0,Yes,S,0
3,male,20.0,2,0,20.0,No,S,0
1,female,40.0,1,0,200.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
1,male,30.0,1,0,70.0,Yes,S,0
1,female,50.0,0,0,200.0,Yes,C,1
3,male,50.0,0,0,10.0,No,S,1
1,male,50.0,0,0,40.0,Yes,S,0
2,male,5.0,1,1,30.0,Yes,S,1
1,female,30.0,3,2,200.0,Yes,S,1
2,male,30.0,0,0,20.0,No,S,0
2,male,30.0,0,0,20.0,No,S,0
2,male,40.0,0,0,20.0,No,S,0
2,female,30.0,0,0,20.0,Yes,S,1
2,female,50.0,0,0,20.0,No,S,1
3,female,30.0,1,0,20.0,No,S,1
3,male,5.0,1,1,20.0,No,S,1
3,male,50.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
1,male,60.0,0,0,40.0,Yes,S,0
3,male,20.0,1,1,10.0,No,C,0
3,male,30.0,1,0,20.0,No,S,0
3,male,30.0,0,0,10.0,No,C,0
3,male,30.0,0,0,10.0,No,S,0
1,female,30.0,0,1,60.0,Yes,S,1
2,female,40.0,0,0,20.0,No,S,0
3,female,30.0,0,0,10.0,No,Q,1
3,female,30.0,0,0,10.0,No,Q,1
3,male,50.0,1,4,30.0,No,S,0
2,male,30.0,1,0,30.0,No,C,0
3,female,50.0,0,1,20.0,No,C,0
3,male,40.0,0,0,10.0,No,S,0
3,male,40.0,1,0,20.0,No,Q,0
3,male,40.0,0,0,10.0,No,S,0
1,female,70.0,1,0,100.0,Yes,C,1
3,female,30.0,0,0,10.0,No,C,1
3,female,40.0,0,0,10.0,No,Q,1
1,female,30.0,0,0,70.0,Yes,C,1
1,male,30.0,1,0,60.0,Yes,C,1
3,male,20.0,1,0,10.0,No,S,0
3,male,20.0,0,0,10.0,No,S,0
1,male,30.0,0,0,200.0,No,C,0
3,female,5.0,3,1,30.0,No,S,0
1,female,40.0,1,0,100.0,No,C,1
3,female,30.0,0,0,10.0,No,S,1
1,male,30.0,0,2,200.0,Yes,C,0
3,male,30.0,0,0,10.0,No,C,0
3,male,20.0,0,0,10.0,No,S,0
1,female,50.0,0,0,200.0,No,C,1
3,female,5.0,0,2,20.0,No,C,1
3,male,40.0,0,0,10.0,No,S,0
1,female,40.0,1,0,60.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
2,male,20.0,0,0,100.0,No,S,0
3,male,5.0,5,2,50.0,No,S,0
2,female,40.0,0,0,20.0,No,S,1
3,male,20.0,0,0,10.0,No,Q,0
2,female,20.0,0,0,20.0,No,C,1
1,male,40.0,1,2,200.0,Yes,S,1
3,male,30.0,0,0,10.0,No,S,1
3,male,30.0,2,0,10.0,No,S,0
1,female,30.0,1,0,200.0,Yes,C,1
3,female,30.0,0,2,20.0,Yes,S,1
3,male,30.0,0,0,10.0,No,S,0
3,female,40.0,0,0,10.0,No,S,0
2,male,50.0,0,0,30.0,No,S,0
2,male,30.0,0,0,20.0,No,S,0
2,female,30.0,0,0,20.0,No,S,1
3,male,40.0,0,0,10.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
3,female,30.0,1,0,10.0,No,S,0
3,male,30.0,1,0,20.0,No,S,0
3,female,30.0,0,0,10.0,No,S,0
2,male,40.0,1,0,30.0,No,S,0
3,male,60.0,0,0,10.0,No,S,0
2,male,5.0,1,1,20.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
3,female,10.0,3,1,30.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,Q,0
1,female,40.0,1,0,100.0,Yes,Q,1
2,male,40.0,0,0,0.0,No,S,0
3,male,50.0,0,0,10.0,No,S,1
3,female,40.0,0,0,10.0,No,S,0
2,female,40.0,1,1,40.0,No,S,1
2,female,20.0,0,2,20.0,No,S,1
2,male,40.0,0,0,20.0,No,S,0
3,female,20.0,0,2,30.0,No,S,0
3,male,30.0,0,0,10.0,No,C,0
3,male,30.0,0,0,10.0,No,Q,0
3,male,30.0,0,0,10.0,No,S,0
3,female,30.0,1,1,20.0,No,S,0
3,male,20.0,1,1,30.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
2,female,30.0,1,0,30.0,No,S,1
2,female,20.0,0,0,30.0,No,S,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,40.0,0,0,10.0,Yes,S,1
1,male,30.0,0,0,30.0,Yes,S,1
3,female,30.0,1,0,20.0,No,S,1
2,female,50.0,1,0,30.0,No,S,1
3,male,20.0,0,0,10.0,No,S,0
1,male,60.0,1,0,60.0,Yes,S,0
1,female,20.0,1,2,200.0,Yes,S,1
3,female,30.0,2,2,40.0,No,S,0
2,female,30.0,2,3,20.0,No,S,1
1,male,70.0,1,4,200.0,Yes,S,0
2,male,40.0,0,0,20.0,No,S,0
2,female,50.0,1,1,30.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
3,male,30.0,1,0,10.0,No,S,0
2,female,30.0,0,0,20.0,No,S,1
3,male,30.0,0,0,10.0,No,S,1
1,male,5.0,0,2,100.0,Yes,S,1
2,female,20.0,0,1,20.0,No,S,1
1,male,40.0,0,0,30.0,No,S,1
3,female,10.0,2,1,20.0,No,C,1
1,male,60.0,0,0,40.0,Yes,S,1
2,male,40.0,1,2,30.0,No,S,0
3,male,30.0,1,0,20.0,No,S,0
1,male,40.0,0,0,30.0,Yes,C,0
1,male,50.0,1,0,100.0,Yes,C,1
3,male,40.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,C,1
1,male,70.0,0,0,30.0,Yes,S,0
1,female,50.0,1,0,60.0,Yes,S,1
2,female,60.0,0,0,20.0,No,S,1
3,male,40.0,0,0,10.0,No,Q,0
1,male,50.0,0,0,30.0,Yes,S,1
3,male,40.0,0,0,10.0,No,S,0
1,male,50.0,0,0,40.0,Yes,S,0
2,male,50.0,0,0,20.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
2,male,40.0,0,0,0.0,No,S,0
1,male,60.0,0,0,30.0,No,S,0
3,male,20.0,0,0,10.0,No,Q,0
3,female,0.0,2,1,20.0,No,C,1
3,male,30.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
2,female,40.0,1,2,30.0,No,S,1
2,female,30.0,0,0,20.0,Yes,C,1
3,female,30.0,0,0,10.0,No,S,0
1,male,50.0,0,0,60.0,Yes,S,0
2,male,40.0,1,0,30.0,No,S,0
3,male,30.0,1,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,female,5.0,0,1,20.0,No,S,1
3,male,10.0,5,2,50.0,No,S,0
2,male,40.0,0,0,0.0,No,S,0
3,male,60.0,0,0,10.0,No,S,0
3,female,70.0,0,0,10.0,No,S,1
1,male,30.0,1,0,100.0,Yes,C,1
3,female,10.0,3,1,30.0,No,S,0
1,female,40.0,1,0,100.0,Yes,S,1
1,male,60.0,0,0,30.0,Yes,C,0
3,male,40.0,0,0,10.0,No,S,0
3,male,10.0,1,1,20.0,No,S,1
3,male,30.0,1,0,20.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
1,male,60.0,0,0,40.0,Yes,S,0
1,male,70.0,0,0,50.0,No,C,0
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,0,0,20.0,No,C,0
1,female,60.0,1,0,100.0,Yes,C,1
3,male,30.0,0,0,20.0,No,S,0
1,female,30.0,1,2,200.0,Yes,S,0
3,male,30.0,0,0,10.0,No,S,0
3,male,20.0,0,0,10.0,No,S,0
3,female,30.0,0,0,10.0,No,Q,0
3,female,30.0,0,0,10.0,No,Q,0
3,female,40.0,0,0,10.0,No,S,0
1,female,20.0,0,0,100.0,Yes,S,1
1,male,20.0,1,0,200.0,Yes,C,0
2,female,40.0,0,2,30.0,No,S,1
1,male,50.0,0,0,30.0,No,S,1
3,male,30.0,0,0,30.0,No,S,0
3,male,30.0,0,0,60.0,No,S,1
3,male,30.0,0,0,10.0,No,Q,1
3,male,40.0,0,0,10.0,No,S,0
1,male,40.0,0,0,30.0,Yes,S,1
1,female,60.0,1,0,60.0,No,C,1
3,male,30.0,0,0,10.0,No,S,0
1,male,50.0,0,0,40.0,Yes,S,0
2,female,40.0,0,0,20.0,Yes,S,1
3,male,40.0,0,0,30.0,No,Q,0
2,female,40.0,1,0,30.0,No,S,1
3,male,40.0,0,0,10.0,No,S,0
1,female,40.0,0,0,100.0,Yes,S,1
3,male,30.0,0,0,10.0,No,S,0
3,male,30.0,0,0,10.0,No,C,0
1,female,50.0,0,1,60.0,Yes,C,1
3,male,30.0,0,0,10.0,No,C,0
3,male,50.0,0,0,10.0,No,Q,0
2,female,60.0,0,0,20.0,No,S,1
1,male,40.0,0,0,200.0,Yes,S,0
3,male,40.0,0,0,10.0,No,S,0
2,male,30.0,2,1,20.0,No,S,0
2,female,5.0,1,1,30.0,No,S,1
3,male,30.0,0,0,10.0,No,C,0
3,male,20.0,1,1,10.0,No,C,0
3,female,10.0,0,2,30.0,No,C,1
3,female,40.0,0,0,10.0,No,S,0
2,female,10.0,0,2,30.0,No,S,1
1,male,50.0,0,0,30.0,Yes,S,0
1,female,40.0,0,0,200.0,No,C,1
3,male,30.0,0,0,20.0,No,S,0
1,female,30.0,0,2,50.0,Yes,C,1
1,female,40.0,0,2,100.0,Yes,S,1
3,female,10.0,4,2,40.0,No,S,0
3,female,20.0,4,2,40.0,No,S,0
2,male,40.0,1,0,30.0,No,S,1
1,male,60.0,1,0,200.0,Yes,C,0
1,male,70.0,0,0,30.0,No,S,0
2,female,20.0,1,0,30.0,No,S,1
2,male,40.0,0,0,20.0,No,C,1
3,male,40.0,1,1,30.0,No,S,0
2,male,10.0,1,1,40.0,No,S,1
1,male,20.0,0,2,200.0,Yes,C,1
2,male,30.0,0,0,30.0,No,S,0
3,male,30.0,0,0,10.0,No,Q,0
3,male,30.0,0,0,10.0,No,C,1
3,female,30.0,0,0,10.0,No,S,1
1,male,70.0,0,0,30.0,No,S,0
1,female,50.0,1,0,40.0,Yes,C,1
1,male,40.0,0,0,200.0,No,C,0
1,female,40.0,1,1,100.0,Yes,S,1
3,female,40.0,1,0,20.0,No,S,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,50.0,0,0,10.0,No,S,0
2,male,30.0,0,0,20.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
3,female,40.0,0,0,10.0,No,S,0
3,male,30.0,2,0,30.0,No,S,0
3,male,20.0,0,0,10.0,No,S,0
3,female,30.0,0,4,30.0,No,S,0
3,male,30.0,0,0,10.0,No,C,0
3,male,40.0,0,0,10.0,No,S,1
2,male,70.0,0,0,20.0,No,S,1
1,female,60.0,2,0,60.0,Yes,S,1
1,male,40.0,0,0,30.0,Yes,S,1
3,female,40.0,0,0,10.0,No,Q,1
3,male,20.0,0,0,10.0,No,S,0
3,male,20.0,0,0,20.0,No,S,0
2,female,40.0,0,0,20.0,No,S,1
1,female,40.0,1,0,60.0,Yes,S,1
3,female,30.0,1,0,20.0,No,C,0
3,male,40.0,0,0,10.0,No,S,1
2,female,30.0,1,1,40.0,No,S,1
1,female,40.0,1,1,200.0,Yes,C,1
2,male,60.0,0,0,30.0,No,S,0
1,male,40.0,0,0,50.0,Yes,C,0
3,male,30.0,0,0,10.0,No,C,0
1,female,20.0,0,2,100.0,Yes,S,1
2,male,50.0,0,0,20.0,No,S,0
1,male,70.0,1,1,100.0,Yes,C,1
3,male,30.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
1,female,60.0,1,0,100.0,Yes,C,1
3,male,50.0,0,0,10.0,No,S,0
3,female,30.0,0,2,10.0,No,Q,0
2,male,40.0,1,0,30.0,No,S,0
3,male,40.0,1,1,30.0,No,S,0
2,female,30.0,0,0,40.0,No,S,1
3,male,50.0,0,0,0.0,No,S,0
3,male,30.0,0,0,10.0,No,C,0
1,male,50.0,1,0,60.0,Yes,C,1
2,female,30.0,2,1,30.0,No,S,1
3,male,30.0,0,0,10.0,No,S,0
1,male,40.0,0,0,50.0,No,S,0
3,male,50.0,0,0,10.0,No,S,0
1,male,40.0,0,0,30.0,No,C,1
3,male,40.0,1,0,20.0,No,S,0
3,male,40.0,0,0,10.0,No,S,0
1,male,30.0,0,0,40.0,No,S,1
2,female,30.0,1,2,50.0,No,C,1
1,female,50.0,0,0,200.0,Yes,S,1
3,female,40.0,1,5,40.0,No,S,0
3,male,30.0,0,0,10.0,No,S,0
3,female,40.0,1,0,20.0,No,Q,1
3,male,40.0,0,0,10.0,No,Q,0
3,male,40.0,0,0,10.0,No,S,0
2,female,30.0,1,2,70.0,No,S,1
3,male,40.0,1,1,20.0,No,S,0
